ID	UnitTypeID	ItemName	Scale	Offset	OperationID	Notes
170	25	Btu/hr-ft-F	1.731	0	1	API Technical Data Book
171	25	cal(I.T.)/s-cm-K	418.68	0	1	From W to cal(I.T.)/s conversion
172	25	kcal/hr-m-K	1.163	0	1	API Technical Data Book
173	27	Fraction	1	0	1	Base unit of Fraction
174	27	ppm	0.000001	0	1	Definition of ppm
175	28	m2/s	1	0	1	Base unit of DiffusionCoeff
176	28	cm2/s	0.0001	0	1	From cm2 to m2 conversion
177	28	ft2/s	0.09290304	0	1	From ft2 to m2 conversion
178	24	1/K	1	0	1	Base unit of ThermalExpansion
179	24	1/R	1.8	0	1	From C to F conversion
180	23	Coulomb-m	1	0	1	Base unit of DipoleMoment
181	23	debye	3.33564E-30	0	1	DIPPR-801
182	23	(J-m3)1/2	1.05491E-05	0	1	"Properties of gases and Liq, p26 1debye=3.162e-25 (J-m3)1/2"
183	19	m3/kmol	1	0	1	Base unit of MolarVolume
184	19	ft3/lbmol	0.062427961	0	1	CRC Handbook of Chem and Phy (60 ed.) ft3/lb conv.
185	19	cm3/mol	0.001	0	1	From cm3 and kmol conversion
186	26	dyne/cm	1	0	1	CRC Handbook of Chem. and Phys.
187	26	N/m	1000	0	1	Use 1e5 dyne/N conversion
188	26	ergs/cm2	1	0	1	CRC Handbook of Chem. and Phys.
189	26	poundal/in	0.000183719	0	1	CRC Handbook of Chem. and Phys.
190	20	kJ/mol	1000	0	1	Conversion from mol to kmol
191	27	%	0.01	0	1	Definition of percent
192	23	c-m	1	0	1	YK assume to be identical to Coulomb-m
193	15	erg/gmol-K.	1	83140000	5	McGill notes
194	15	atm-cm3/gmol-K.	1	82.06	5	McGill notes
195	15	mmHg-l/gmol-K.	1	62.37	5	McGill notes
196	15	bar-l/gmol-K.	1	0.08315	5	McGill notes
197	15	kgf-l/m2-gmol-K.	1	847.9	5	McGill notes
198	15	inHg-ft3/lbmol-R.	1	21.85	5	McGill notes
199	15	hp-h/lbmol-R.	1	0.00078	5	McGill notes
200	15	kwh/lbmol-R.	1	0.000583	5	McGill notes
201	15	cmHg-ft3/lbmol-R.	1	55.4	5	McGill notes
202	15	lbf-in/lbmol-R.	1	18540	5	McGill notes
203	29	Pa-kmol/m3	1	0	1	Base Unit of Prewwure/MolarVolume
204	29	kPa-kmol/m3	1000	0	1	1000 / 1
205	29	psia-lbmol/ft3	110443.4117	0	1	6894.757/.062427961
206	29	bar-mol/cm3	100000000	0	1	100000/.001
207	30	m/s	1	0	1	base unit of velocity
208	30	ft/s	0.3048	0	1	conversion from ft to m
209	30	miles/hr	0.44704	0	1	CRC Handbook of Chem. and Phys. Miles/hr -> m/min -> m/z
210	30	km/hr	0.277777778	0	1	1000/3600
211	13	J/kg-K	0.001	0	1	J to kJ conversion
212	17	J/kg	0.001	0	1	J to kJ conversion
213	18	J/kmol-K	0.001	0	1	J to kJ conversion
214	20	J/kmol	0.001	0	1	J to kJ conversion
215	15	J/kmol-K.	1	8314.24	5	J to kJ conversion
216	29	Pa-mol/m3	0.001	0	1	mol to kmol conversion
217	31	1/Pa	1	0	1	Base unit for isothermal compressibility
218	31	1/kPa	0.001	0	1	Pa to kPa conversion
219	31	1/psia	0.000145038	0	1	Pa to psia conversion
220	31	1/bar	0.00001	0	1	Pa to bar conversion
221	32	kg/s	1.0	0.00	1	Perry's
222	32	lb/h	1.259979e-04	0.0	1	Perry's
223	33	kgmole/s	1.0	0.0	1	Perry's
224	33	lbmole/h	1.259979e-4	0.0	1	Perry's
225	32	kg/h	2.77777777e-4	0.0	1	Perry's
226	32	lb/s	0.4535924	0.0	1	Perry's
227	33	lbmole/s	0.4535924	0.0	1	Perry's
228	33	kgmole/h	2.77777777e-4	0.0	1	Perry's
229	34	C	1.0	0.0	1	Craig
230	34	K	1.0	0.0	1	Craig
231	34	F	0.555555556	0.0	1	Craig
232	34	R	0.555555556	0.0	1	Craig
233	35	Kpa	1.0	0.0	1	Craig
234	35	psi	6.894757	0.0	1	Craig
235	35	Pa	0.001	0	1	Craig
236	35	atm	101.325	0	1	Craig
237	35	bar	100.000	0	1	Craig
238	35	cmHg(0C)	1.33322	0	1	Craig
239	35	dyne/cm2	0.0001	0	1	Craig
240	35	feet H2O(4C)	2.98898	0	1	Craig
241	35	kg-force/cm2	98.0665	0	1	Craig
242	33	SCFH	3.3202722e-07	0.0	1	Marco
243	33	MSCFH	3.3202722e-04	0.0	1	Marco
244	33	MMSCFH	3.3202722e-01	0.0	1	Marco
245	33	SCFD	1.3834461e-08	0.0	1	Marco
246	33	MSCFD	1.3834461e-05	0.0	1	Marco
247	33	MMSCFD	1.3834461e-02	0.0	1	Marco
248	16	kJ/h	0.277777777	0	1	Raul
249	16	kcal/h	1.16222	0	1	Raul
250	36	W/K	1.0	0.0	1	Raul
251	36	Btu/hr-F	0.52750346	0	1	Raul
252	36	cal(I.T.)/s-K	4.1868	0	1	Raul
253	36	kcal(I.T.)/hr-K	1.163	0	1	Raul
254	37	kmol/hr-m-kPa	1.0	0	1	Izzi
255	37	mol/s-m-Pa	3600	0	1	Izzi
256	37	lbmol/hr-ft-psia	0.2159	0	1	Shahrul
257	38	m2/s	1.0000000e+00	0.0	1	Base unit for kinematic viscosity
258	38	mm2/s	1.0000000e-06	0.0	1	Marco
259	38	ft2/s	9.2903044e-02	0.0	1	Marco
260	38	in2/s	6.4516004e-04	0.0	1	Marco
261	38	m2/h	2.7777778e-04	0.0	1	Marco
262	38	mm2/h	2.7777778e-10	0.0	1	Marco
263	38	ft2/h	2.5806401e-05	0.0	1	Marco
264	38	in2/h	1.7921112e-07	0.0	1	Marco
265	38	cSt	1.0000000e-06	0.0	1	Marco
266	38	St	1.0000000e-04	0.0	1	Marco
267	33	SCFM	1.9921633E-05	0.0	1	YauKun converted from SCFH
268	33	MSCFM	1.9921633E-02	0.0	1	YauKun converted from MSCFH
269	33	MMSCFM	1.9921633E+01	0.0	1	YauKun converted from MMSCFH
270	4	API(60/60F)	141361.613	131.5	6	API = 141.5/[SG(60/60)] - 131.5
271	39	kmol/s-m3	1.0	0.0	1	Raul
272	39	kmol/s-dm3	1000.0	0.0	1	Raul
273	39	mol/s-dm3	1.0	0.0	1	Raul
274	39	kmol/h-m3	2.777777e-4	0.0	1	Raul
275	39	lbmol/s-ft3	16.01846	0.0	1	Raul
276	40	kmol/s-kg	1.0	0.0	1	Raul
277	40	mol/s-g	1.0	0.0	1	Raul
278	40	lbmol/s-lb	1.0	0.0	1	Raul
279	39	mol/s-m3	0.001	0.0	1	Raul
280	40	mol/s-kg	0.001	0.0	1	Raul
281	41	kmol/m3	1.0	0.0	1	Raul
282	41	lbmol/ft3	16.01846	0.0	1	Raul
283	41	mol/cm3	1000.0	0.0	1	Raul
